timestamp,object_id,event
2026-06-10 00:18:47,1,Entered Restricted Zone
2026-06-10 00:30:28,2,Entered Restricted Zone
2026-06-10 00:30:29,1,Entered Restricted Zone
2026-06-10 00:30:29,3,Entered Restricted Zone
2026-06-10 00:30:43,5,Entered Restricted Zone
2026-06-10 00:30:46,6,Entered Restricted Zone
2026-06-10 00:30:47,4,Entered Restricted Zone
2026-06-10 00:30:48,7,Entered Restricted Zone
2026-06-10 00:30:49,8,Entered Restricted Zone
2026-06-10 00:30:51,9,Entered Restricted Zone
2026-06-10 00:30:55,10,Entered Restricted Zone
2026-06-10 00:31:09,11,Entered Restricted Zone
2026-06-10 00:33:01,2,Entered Restricted Zone
2026-06-10 00:33:01,1,Entered Restricted Zone
2026-06-10 00:33:02,3,Entered Restricted Zone
2026-06-10 00:33:13,5,Entered Restricted Zone
2026-06-10 00:33:16,6,Entered Restricted Zone
2026-06-10 00:33:17,4,Entered Restricted Zone
2026-06-10 00:33:18,7,Entered Restricted Zone
2026-06-10 00:33:19,8,Entered Restricted Zone
2026-06-10 00:33:21,9,Entered Restricted Zone
2026-06-10 00:40:50,2,Entered Restricted Zone
2026-06-10 00:40:50,1,Entered Restricted Zone
2026-06-10 00:40:51,3,Entered Restricted Zone
2026-06-10 00:41:04,5,Entered Restricted Zone
2026-06-10 00:41:08,6,Entered Restricted Zone
2026-06-10 00:41:09,4,Entered Restricted Zone
2026-06-10 00:41:10,7,Entered Restricted Zone
2026-06-10 00:41:10,8,Entered Restricted Zone
2026-06-10 00:41:13,9,Entered Restricted Zone
2026-06-10 01:28:59,2,Entered Restricted Zone
2026-06-10 01:29:01,1,Entered Restricted Zone
2026-06-10 01:29:01,3,Entered Restricted Zone
2026-06-10 01:46:08,2,Entered Restricted Zone
2026-06-10 01:46:09,1,Entered Restricted Zone
2026-06-10 01:46:10,3,Entered Restricted Zone
2026-06-10 01:46:30,5,Entered Restricted Zone
2026-06-10 01:46:41,6,Entered Restricted Zone
2026-06-11 00:31:04,2,Entered Restricted Zone
2026-06-11 00:31:05,1,Entered Restricted Zone
2026-06-11 00:31:06,3,Entered Restricted Zone
2026-06-11 00:31:19,5,Entered Restricted Zone
2026-06-11 00:31:22,6,Entered Restricted Zone
2026-06-11 00:31:23,4,Entered Restricted Zone
2026-06-11 00:31:25,7,Entered Restricted Zone
2026-06-11 00:31:26,8,Entered Restricted Zone
2026-06-11 01:04:51,2,Entered Restricted Zone
2026-06-11 01:04:52,1,Entered Restricted Zone
2026-06-11 01:04:53,3,Entered Restricted Zone
2026-06-11 01:05:09,5,Entered Restricted Zone
2026-06-11 01:05:14,6,Entered Restricted Zone
2026-06-12 00:10:04,1,Entered Zone B
2026-06-12 00:10:04,2,Entered Zone A
2026-06-12 00:10:06,3,Entered Zone C
2026-06-12 00:11:27,1,Entered Zone B
2026-06-12 00:11:27,2,Entered Zone A
2026-06-12 00:11:28,3,Entered Zone C
2026-06-12 02:07:38,1,Entered Zone B
2026-06-12 02:07:38,2,Entered Zone A
2026-06-12 02:07:40,3,Entered Zone C
2026-06-12 02:13:09,1,Entered Zone B
2026-06-12 02:13:09,2,Entered Zone A
2026-06-12 02:13:12,3,Entered Zone C
2026-06-12 02:13:58,5,Entered Zone B
2026-06-12 02:14:00,4,Entered Zone A
2026-06-12 02:14:04,6,Entered Zone A
2026-06-12 02:14:09,7,Entered Zone B
2026-06-12 02:14:10,8,Entered Zone C
2026-06-12 02:14:19,9,Entered Zone A
2026-06-12 02:14:38,10,Entered Zone B
2026-06-12 02:15:15,11,Entered Zone B
2026-06-12 02:15:23,13,Entered Zone C
2026-06-12 02:15:27,15,Entered Zone C
2026-06-12 02:15:35,16,Entered Zone B
